"product_key","product_id","product_name","category"
1,"40-003-7322",White Sugar,Grains & Pulses
2,"39-913-2999",Evaporated Milk,Dairy
3,"15-045-8444",Green Coffee,Beverages
4,"54-822-9009",Cauliflower,Grains & Pulses
5,"42-220-9305",White Sugar,Grains & Pulses
6,"01-026-2772",Blueberries,Fruits & Vegetables
7,"98-858-6323",Swiss Cheese,Dairy
8,"63-936-0145",Plum,Fruits & Vegetables
9,"08-961-3009",Cheese,Dairy
10,"79-350-5841",Jasmine Rice,Grains & Pulses
11,"47-866-6589",Egg (Duck),Dairy
12,"94-092-3355",Cauliflower,Fruits & Vegetables
13,"81-573-0943",Egg (Chicken),Dairy
14,"66-993-4234",Cucumber,Fruits & Vegetables
15,"82-342-7339",Vanilla Biscuit,Bakery
16,"05-193-8096",Grapes,Fruits & Vegetables
17,"09-622-7119",Haddock,Seafood
18,"81-605-6246",Sardines,Seafood
19,"36-383-3677",Corn Oil,Oils & Fats
20,"36-918-2937",Green Coffee,Beverages
21,"86-672-4191",Egg (Goose),Dairy
22,"03-043-9933",Strawberries,Fruits & Vegetables
23,"84-075-7647",Canola Oil,Oils & Fats
24,"37-709-3532",Mushrooms,Fruits & Vegetables
25,"28-044-4102",Papaya,Fruits & Vegetables
26,"33-807-7247",Mozzarella Cheese,Dairy
27,"71-631-5875",Salmon,Seafood
28,"26-161-6692",Zucchini,Fruits & Vegetables
29,"68-418-6724",Parmesan Cheese,Dairy
30,"30-832-5429",Multigrain Bread,Bakery
31,"83-568-3475",Halibut,Seafood
32,"93-966-7754",Pineapple,Fruits & Vegetables
33,"05-425-0746",Onion,Fruits & Vegetables
34,"77-827-0820",Sesame Oil,Oils & Fats
35,"37-610-1999",Halibut,Seafood
36,"44-368-7112",Corn Oil,Oils & Fats
37,"98-445-7372",Cod,Seafood
38,"30-591-7275",Brown Rice,Grains & Pulses
39,"46-436-5351",Green Tea,Beverages
40,"78-953-2073",Canola Oil,Oils & Fats
41,"47-441-7682",Digestive Biscuit,Bakery
42,"28-146-2641",Parmesan Cheese,Dairy
43,"26-799-3714",Robusta Coffee,Beverages
44,"39-810-2042",Rice Flour,Grains & Pulses
45,"83-727-0814",Basmati Rice,Grains & Pulses
46,"12-714-5135",Ricotta Cheese,Dairy
47,"43-670-8544",Orange,Fruits & Vegetables
48,"15-679-3935",Grapes,Fruits & Vegetables
49,"60-550-4771",Haddock,Seafood
50,"31-608-1445",Papaya,Fruits & Vegetables
51,"88-069-5486",Cod,Seafood
52,"15-797-4824",Coconut,Fruits & Vegetables
53,"14-115-8371",Chocolate Biscuit,Bakery
54,"93-571-7294",Sushi Rice,Grains & Pulses
55,"47-843-8207",Cauliflower,Fruits & Vegetables
56,"94-658-4945",Sweet Potato,Fruits & Vegetables
57,"96-503-7712",White Bread,Bakery
58,"37-064-7275",Robusta Coffee,Beverages
59,"26-535-4727",Tilapia,Seafood
60,"20-022-3173",Bread Flour,Grains & Pulses
61,"30-996-2526",Green Beans,Fruits & Vegetables
62,"36-177-0573",Egg (Turkey),Dairy
63,"94-598-3383",Brown Rice,Grains & Pulses
64,"60-644-6596",Trout,Seafood
65,"97-772-2336",Pineapple,Fruits & Vegetables
66,"70-871-4536",Swiss Cheese,Dairy
67,"15-082-9124",Apricot,Fruits & Vegetables
68,"00-963-2193",Milk,Dairy
69,"17-022-9721",Apple,Fruits & Vegetables
70,"57-562-2358",Black Coffee,Beverages
71,"29-344-3658",Lime,Fruits & Vegetables
72,"56-937-8675",Cream,Dairy
73,"32-676-1026",Salmon,Seafood
74,"61-607-7622",Egg (Duck),Dairy
75,"41-316-8427",Arborio Rice,Grains & Pulses
76,"45-402-0421",Swiss Cheese,Dairy
77,"07-219-8017",Palm Oil,Oils & Fats
78,"79-494-2472",Green Beans,Fruits & Vegetables
79,"94-020-6982",Tuna,Seafood
80,"65-644-1394",Pear,Fruits & Vegetables
81,"61-317-9944",White Bread,Bakery
82,"02-034-6209",Sour Cream,Dairy
83,"11-815-7923",Parmesan Cheese,Dairy
84,"63-897-8088",Zucchini,Fruits & Vegetables
85,"44-637-5512",Watermelon,Fruits & Vegetables
86,"28-505-8317",Watermelon,Fruits & Vegetables
87,"42-141-5718",Cheese,Dairy
88,"43-164-5984",Butter,Dairy
89,"36-372-2295",Basmati Rice,Grains & Pulses
90,"96-209-1739",Evaporated Milk,Dairy
91,"13-202-4809",Garlic,Fruits & Vegetables
92,"42-134-9798",Canola Oil,Oils & Fats
93,"38-390-2115",Potato,Fruits & Vegetables
94,"60-327-4114",Egg (Turkey),Dairy
95,"66-716-8221",Cheddar Cheese,Dairy
96,"06-797-4963",Pomegranate,Fruits & Vegetables
97,"56-657-4387",White Bread,Bakery
98,"82-231-4245",Wild Rice,Grains & Pulses
99,"84-546-7624",Cherry,Fruits & Vegetables
100,"45-852-2446",Salmon,Seafood
101,"10-218-2680",Egg (Turkey),Dairy
102,"08-573-9997",Pomegranate,Fruits & Vegetables
103,"38-296-6634",Peas,Fruits & Vegetables
104,"56-831-6199",Salmon,Seafood
